Word,Vowel,F1,F2
1,i,240,2280
1,i,280,2400
1,ɪ,390,2030
1,ɪ,310,1980
1,ɛ,490,1870
1,ɛ,570,1700
1,æ,560,1820
1,æ,630,1700
1,ʌ,590,1250
1,ʌ,620,1300
1,ɑ,740,1070
1,ɑ,800,1060
1,ɔ,600,970
1,ɔ,660,980
1,ʊ,440,1120
1,ʊ,400,1070
1,u,240,1040
1,u,270,930
1,ə,370,1520
1,ə,460,1330
2,i,220,2220
2,i,210,2360
2,ɪ,410,1890
2,ɪ,420,1850
2,ɛ,500,1760
2,ɛ,510,1710
2,æ,690,1610
2,æ,700,1690
2,ʌ,650,1080
2,ʌ,625,1060
2,ɑ,650,1040
2,ɑ,670,1100
2,ɔ,580,580
2,ɔ,560,560
2,ʊ,450,940
2,ʊ,410,830
2,u,280,650
2,u,260,660
2,ə,510,1210
2,ə,510,1130
3,i,250,2180
3,i,244,2300
3,ɪ,400,1930
3,ɪ,400,1990
3,ɛ,550,1810
3,ɛ,540,1810
3,æ,630,1710
3,æ,658,1755
3,ʌ,600,1200
3,ʌ,612,1160
3,ɑ,640,1080
3,ɑ,720,1090
3,ɔ,550,870
3,ɔ,540,840
3,ʊ,460,1150
3,ʊ,456,1030
3,u,340,950
3,u,326,900
3,ə,500,1370
3,ə,530,1330
4,i,300,2240
4,i,280,2450
4,ɪ,450,1960
4,ɪ,440,2050
4,ɛ,570,1780
4,ɛ,555,1890
4,æ,750,1610
4,æ,770,1580
4,ʌ,660,1200
4,ʌ,675,1140
4,ɑ,750,1100
4,ɑ,800,1120
4,ɔ,540,850
4,ɔ,555,890
4,ʊ,460,960
4,ʊ,460,1000
4,u,380,950
4,u,385,850
4,ə,590,1400
4,ə,555,1430
5,i,310,2310
5,i,260,2250
5,ɪ,440,2060
5,ɪ,430,1880
5,ɛ,580,1910
5,ɛ,550,1770
5,æ,830,1720
5,æ,750,1690
5,ʌ,630,1300
5,ʌ,650,1170
5,ɑ,760,1220
5,ɑ,720,1260
5,ɔ,540,970
5,ɔ,550,880
5,ʊ,470,1040
5,ʊ,490,990
5,u,380,950
5,u,330,800
5,ə,560,1510
5,ə,510,1460
6,i,312,2350
6,i,330,2430
6,ɪ,420,2000
6,ɪ,313,2000
6,ɛ,600,1860
6,ɛ,570,1830
6,æ,676,1670
6,æ,725,1687
6,ʌ,680,1150
6,ʌ,726,1270
6,ɑ,740,1100
6,ɑ,670,960
6,ɔ,660,1030
6,ɔ,720,960
6,ʊ,456,1080
6,ʊ,450,1140
6,u,313,838
6,u,288,938
6,ə,503,1305
6,ə,505,1320
7,i,320,2320
