Word,Vowel,F1,F2
1,iy,240,2280
1,iy,280,2400
1,ih,390,2030
1,ih,310,1980
1,eh,490,1870
1,eh,570,1700
1,ae,560,1820
1,ae,630,1700
1,ah,590,1250
1,ah,620,1300
1,aa,740,1070
1,aa,800,1060
1,ao,600,970
1,ao,660,980
1,uh,440,1120
1,uh,400,1070
1,uw,240,1040
1,uw,270,930
1,er,370,1520
1,er,460,1330
2,iy,220,2220
2,iy,210,2360
2,ih,410,1890
2,ih,420,1850
2,eh,500,1760
2,eh,510,1710
2,ae,690,1610
2,ae,700,1690
2,ah,650,1080
2,ah,625,1060
2,aa,650,1040
2,aa,670,1100
2,ao,580,580
2,ao,560,560
2,uh,450,940
2,uh,410,830
2,uw,280,650
2,uw,260,660
2,er,510,1210
2,er,510,1130
3,iy,250,2180
3,iy,244,2300
3,ih,400,1930
3,ih,400,1990
3,eh,550,1810
3,eh,540,1810
3,ae,630,1710
3,ae,658,1755
3,ah,600,1200
3,ah,612,1160
3,aa,640,1080
3,aa,720,1090
3,ao,550,870
3,ao,540,840
3,uh,460,1150
3,uh,456,1030
3,uw,340,950
3,uw,326,900
3,er,500,1370
3,er,530,1330
4,iy,300,2240
4,iy,280,2450
4,ih,450,1960
4,ih,440,2050
4,eh,570,1780
4,eh,555,1890
4,ae,750,1610
4,ae,770,1580
4,ah,660,1200
4,ah,675,1140
4,aa,750,1100
4,aa,800,1120
4,ao,540,850
4,ao,555,890
4,uh,460,960
4,uh,460,1000
4,uw,380,950
4,uw,385,850
4,er,590,1400
4,er,555,1430
5,iy,310,2310
5,iy,260,2250
5,ih,440,2060
5,ih,430,1880
5,eh,580,1910
5,eh,550,1770
5,ae,830,1720
5,ae,750,1690
5,ah,630,1300
5,ah,650,1170
5,aa,760,1220
5,aa,720,1260
5,ao,540,970
5,ao,550,880
5,uh,470,1040
5,uh,490,990
5,uw,380,950
5,uw,330,800
5,er,560,1510
5,er,510,1460
6,iy,312,2350
6,iy,330,2430
6,ih,420,2000
6,ih,313,2000
6,eh,600,1860
6,eh,570,1830
6,ae,676,1670
6,ae,725,1687
6,ah,680,1150
6,ah,726,1270
6,aa,740,1100
6,aa,670,960
6,ao,660,1030
6,ao,720,960
6,uh,456,1080
6,uh,450,1140
6,uw,313,838
6,uw,288,938
6,er,503,1305
6,er,505,1320
7,iy,320,2320
7,iy,310,2280
7,ih,470,2000
7,ih,410,2040
7,eh,630,1900
7,eh,614,1840
7,ae,740,1800
7,ae,775,1810
7,ah,620,1240
7,ah,640,1250
7,aa,650,970
7,aa,650,980
7,ao,430,720
7,ao,510,800
7,uh,460,1120
7,uh,493,1120
7,uw,380,1040
7,uw,400,1000
7,er,570,1300
7,er,565,1370
8,iy,230,2480
8,iy,218,2380
8,ih,320,2200
8,ih,206,2130
8,eh,430,2100
8,eh,515,1760
8,ae,514,2060
8,ae,552,1820
8,ah,640,1300
8,ah,624,1350
8,aa,714,1170
8,aa,650,1150
8,ao,590,965
8,ao,578,970
8,uh,467,1110
8,uh,475,1220
8,uw,270,910
8,uw,260,975
8,er,460,1400
8,er,425,1410
9,iy,316,2200
9,iy,280,2275
9,ih,450,1820
9,ih,434,1850
9,eh,582,1725
9,eh,586,1800
9,ae,600,1750
9,ae,582,1775
9,ah,626,1125
9,ah,641,1120
9,aa,708,1054
9,aa,705,1050
9,ao,614,848
9,ao,600,860
9,uh,500,1000
9,uh,500,1000
9,uw,334,1150
9,uw,312,1020
9,er,518,1305
9,er,504,1210
10,iy,260,2260
10,iy,250,2200
10,ih,400,2040
10,ih,389,2000
10,eh,500,1870
10,eh,500,1775
10,ae,660,1650
10,ae,624,1700
10,ah,650,1220
10,ah,672,1260
10,aa,750,1080
10,aa,777,1026
10,ao,580,800
10,ao,585,819
10,uh,480,950
10,uh,461,993
10,uw,280,950
10,uw,266,920
10,er,500,1340
10,er,532,1275
11,iy,248,2225
11,iy,238,2175
11,ih,405,1925
11,ih,416,1940
11,eh,588,1790
11,eh,586,1725
11,ae,725,1700
11,ae,710,1650
11,ah,586,1078
11,ah,627,1038
11,aa,725,1046
11,aa,746,1018
11,ao,560,840
11,ao,560,924
11,uh,495,1080
11,uh,430,1030
11,uw,290,760
11,uw,315,850
11,er,511,1561
11,er,530,1450
12,iy,220,2410
12,iy,240,2440
12,ih,450,1880
12,ih,380,1930
12,eh,560,1650
12,eh,560,1720
12,ae,680,1720
12,ae,630,1680
12,ah,560,1430
12,ah,560,1390
12,aa,800,1330
12,aa,740,1240
12,ao,600,920
12,ao,580,910
12,uh,400,1200
12,uh,420,1230
12,uw,300,900
12,uw,260,1010
12,er,400,1450
12,er,360,1410
13,iy,290,2290
13,iy,260,2290
13,ih,390,1950
13,ih,400,1900
13,eh,490,1740
13,eh,500,1780
13,ae,660,1630
13,ae,670,1630
13,ah,600,1220
13,ah,600,1210
13,aa,680,1120
13,aa,670,1100
13,ao,510,720
13,ao,480,710
13,uh,380,910
13,uh,440,1030
13,uw,350,720
13,uw,380,740
13,er,430,1370
13,er,440,1360
14,iy,228,2350
14,iy,220,2350
14,ih,407,2070
14,ih,420,1900
14,eh,445,2020
14,eh,470,2020
14,ae,721,1680
14,ae,750,1710
14,ah,552,1122
14,ah,580,1150
14,aa,686,1078
14,aa,700,1050
14,ao,560,665
14,ao,550,650
14,uh,448,980
14,uh,410,940
14,uw,232,696
14,uw,222,665
14,er,432,1300
14,er,420,1300
15,iy,230,2100
15,iy,240,2000
15,ih,365,1900
15,ih,300,2040
15,eh,440,1980
15,eh,410,2050
15,ae,620,1710
15,ae,660,1800
15,ah,660,1000
15,ah,660,960
15,aa,600,830
15,aa,620,820
15,ao,500,620
15,ao,550,700
15,uh,390,730
15,uh,360,740
15,uw,260,720
15,uw,260,740
15,er,450,1230
15,er,460,1300
16,iy,300,2355
16,iy,300,2460
16,ih,385,2242
16,ih,407,2250
16,eh,504,2090
16,eh,543,1980
16,ae,680,1958
16,ae,708,1840
16,ah,675,1320
16,ah,704,1393
16,aa,825,1168
16,aa,840,1210
16,ao,671,1000
16,ao,690,968
16,uh,443,1273
16,uh,459,1286
16,uw,395,1300
16,uw,400,1320
16,er,532,1500
16,er,538,1460
17,iy,264,2290
17,iy,256,2305
17,ih,380,1880
17,ih,346,1930
17,eh,510,1780
17,eh,520,1730
17,ae,630,1770
17,ae,630,1642
17,ah,601,1273
17,ah,590,1283
17,aa,750,1150
17,aa,703,1092
17,ao,565,780
17,ao,584,849
17,uh,420,1100
17,uh,422,1200
17,uw,315,1080
17,uw,326,1125
17,er,444,1300
17,er,469,1288
18,iy,210,2100
18,iy,220,2080
18,ih,280,2000
18,ih,310,1950
18,eh,470,1910
18,eh,490,1930
18,ae,640,1620
18,ae,650,1580
18,ah,610,1100
18,ah,620,1120
18,aa,700,1100
18,aa,670,1100
18,ao,460,720
18,ao,470,690
18,uh,320,770
18,uh,310,790
18,uw,210,670
18,uw,240,730
18,er,390,1320
18,er,420,1240
19,iy,190,2650
19,iy,190,2700
19,ih,370,1750
19,ih,370,1800
19,eh,370,1680
19,eh,375,1700
19,ae,550,1570
19,ae,530,1610
19,ah,570,1050
19,ah,590,1100
19,aa,640,970
19,aa,670,980
19,ao,560,860
19,ao,570,820
19,uh,350,1000
19,uh,380,920
19,uw,250,1000
19,uw,210,960
19,er,360,1300
19,er,370,1300
20,iy,250,2180
20,iy,260,2210
20,ih,400,1900
20,ih,350,1980
20,eh,560,1670
20,eh,530,1700
20,ae,680,1470
20,ae,620,1580
20,ah,620,1100
20,ah,640,1110
20,aa,630,980
20,aa,670,940
20,ao,560,790
20,ao,610,840
20,uh,360,860
20,uh,400,840
20,uw,280,670
20,uw,250,720
20,er,480,1410
20,er,470,1330
21,iy,280,2400
21,iy,300,2320
21,ih,410,2060
21,ih,450,2050
21,eh,540,1900
21,eh,540,1920
21,ae,620,1800
21,ae,690,1820
21,ah,630,1200
21,ah,680,1290
21,aa,740,1110
21,aa,700,1060
21,ao,600,970
21,ao,650,880
21,uh,430,1130
21,uh,430,1150
21,uw,280,990
21,uw,290,1000
21,er,420,1350
21,er,450,1350
22,iy,300,2300
22,iy,350,2240
22,ih,410,2200
22,ih,440,2080
22,eh,580,1870
22,eh,520,1900
22,ae,760,1920
22,ae,670,1850
22,ah,810,1110
22,ah,770,1150
22,aa,700,1040
22,aa,750,1160
22,ao,670,920
22,ao,570,850
22,uh,550,970
22,uh,490,870
22,uw,300,600
22,uw,230,570
22,er,560,1520
22,er,540,1570
